"feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9","feature_10","feature_11","feature_12","id","target"
"66.42466482734166","44.70872653121246","30.775372350642026","51.1389709391279","28.72440341044677","57.94952775008367","51.28947730127982","11.669599638611906","61.00306652060417","46.634124685340595","58.001695855553265","31.69836310949832","0","0"
"70.87793616714605","38.5992682438055","22.045540363306007","28.85845991932061","35.57996323644202","41.37034454516032","20.0552095785698","38.358490305910664","55.45676866433533","55.26019485121442","73.94404920519521","22.54155481157264","1","0"
"52.65358761742088","27.270578999326727","53.3884344050609","47.38162151953456","40.073475065462134","31.74236462763645","41.243517716986304","4.873996515302217","41.64875977975088","24.406273010449947","60.66822041476222","45.718848356744104","2","1"
"65.91668055413234","41.859496629632005","52.2020535634286","51.10262326576781","40.31434866165625","36.20363966154429","49.103149649064434","33.09851191853613","47.38911187078553","21.213952277761255","44.90614750174443","30.85134922386108","3","1"
"65.65323964461042","61.55979106669115","16.60371335949345","53.73743226507071","49.3299851010543","44.214012813978734","52.532694878813196","13.754753915273543","46.582248603243634","36.63652221895657","66.41334026654236","23.40966061544064","4","1"
"80.52520164653322","27.70976917949551","38.304754047529265","32.28336905652721","35.25903595680137","28.042369251018282","53.241554800496694","14.770149413121885","53.801108468827216","42.219221205109235","41.95728565832012","27.716985756514976","5","0"
"85.63476148053394","43.382597764840774","19.217273196353716","41.57845486257233","40.01751456210129","23.59881191336236","31.58741911025908","44.7277159683472","56.65846098470637","30.662861488857462","46.87328378973102","16.960250194688836","6","0"
"48.823828145228234","46.779781596373205","27.724822290825397","55.61383445087087","49.15803606708918","40.41309233188817","23.357667778729436","44.53900127863409","40.52465644443547","41.08815168117647","43.266895551360314","19.63080370004942","7","0"
"57.7442668955087","27.4743965641896","31.410644278993107","33.616131448233425","50.22105578900521","29.203682588685318","47.79743644608172","45.160878286186446","39.94949472098811","31.586533410496674","55.223504925971255","43.4268307021497","8","0"
"49.859780762119584","54.92330150535962","44.46458748785139","52.64189957475648","46.95210641702415","50.12177048333545","25.216406416042986","39.98059117470329","48.7649433410245","17.505036074366707","36.35532227439036","48.67332231277908","9","0"
"84.93642768415995","28.945946189457143","52.70592940849353","20.03394351399595","54.547580877299175","37.60106888413719","40.5796635798432","38.78362846429151","60.64129756350407","44.398752690251726","65.83337795741532","49.50361480618314","10","1"
"47.86266167434975","40.595735941920324","23.30428879772222","28.903933809782956","26.14929369723049","61.488593620784705","28.97155166998658","21.351698799987222","56.36244856729425","40.88403593876018","49.826473300133046","16.080110725098532","11","1"
"66.1143212586154","27.646211676985335","30.319559326053398","50.14553631539792","56.6548039938734","26.914865990325517","58.98221677317179","27.136373608127048","49.995126793217786","41.563760215888664","69.7027170841574","50.31774168703251","12","1"
"67.81789150208445","54.07855610797803","23.678332615608443","49.26542107828482","32.250955806304134","26.292102086074056","30.871984957502875","22.383622148664397","61.780938915483496","31.85826669147379","40.49461944834343","44.58227780680892","13","0"
"60.090806951319536","62.65368390630837","21.749006588287894","39.093813942300514","42.57073402948048","43.0522722591979","46.858145126667544","39.995492724849015","62.18969872110773","33.04057185159135","67.23421135192325","33.406979280960314","14","1"
"86.55614359888234","34.59201291647917","37.51163883552298","55.05942409424931","32.88948779945814","51.58058600943623","36.305897775549056","20.34703313917318","49.40564984959061","32.24787563832376","51.52928432803783","42.24643128480935","15","0"
"73.61705146090989","46.9404252803866","19.928044471337298","42.35544629518975","33.333726153236974","30.383123911325267","39.56127213333511","24.727889452064776","35.25541476371249","23.62452410898077","71.83013689227307","12.720469312933613","16","1"
"46.74841605110718","54.54034820905886","38.66567809967201","18.580871060362384","21.35685302559856","42.97183486818627","48.26173900361517","20.909618885102734","40.749055681946366","16.274559727562856","48.59695705605917","37.101860651427444","17","0"
"85.54587279803079","40.91154850018027","29.917758765768763","35.13890369647294","39.0438535614398","46.60063952203692","49.18819068627817","6.7675915138778","34.07736996578058","15.734833592498864","50.26242253271053","40.238407203656266","18","0"
"72.54957681244699","23.387987366648645","28.02678481197165","40.1309199148653","36.646243720679266","47.221241803435184","21.744822677096955","41.23933988364374","42.91932099570716","46.72999038236749","38.045406895695976","12.080451687716781","19","1"
"72.48748839328798","24.653373980618564","52.840490046710386","34.22235838634357","54.09476934032641","38.432857489839726","38.27787420079795","10.617326989955362","28.735942256999493","20.394628029676205","64.75457007327113","32.299410966227256","20","0"
"81.28710616752612","29.97245894866646","44.94844828128813","51.38424166676286","31.054050197774156","24.068118056947583","45.08151174115255","12.661204082602964","41.089390298976106","31.256611885186533","68.07158209009951","35.453864643507714","21","1"
"62.30901409672184","55.08205572418163","22.492401916155405","33.61728038669537","55.16306593558496","59.99289735644607","37.63413075031508","41.118781360396014","27.276153852264684","27.628414975334987","50.65454169178848","27.340800200467346","22","1"
"61.49239319031116","32.27733558957036","33.403815910816796","52.33585097429347","58.462520471380834","39.51131439133494","37.82234085767616","40.768012779817994","25.67580710354526","38.92308419976624","77.15983950623689","43.17189580918465","23","0"
"73.9086362803745","51.88189961174139","13.954170521877572","25.067025675896367","52.66951840062127","44.82445471229792","20.850481454150817","45.394623366293985","43.3364804155774","21.735370580802908","73.00165185787662","28.365982456086645","24","1"
"65.8828725013322","47.282756628987315","34.444003999379404","49.717726937535794","23.421206006003587","50.82298559195211","39.083088553183245","38.88742124582147","61.09783610320249","36.36164794627935","60.2528254565546","49.8237862207654","25","1"
