"feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","id","target"
"81.568884059438","82.36979754168003","60.71253270065398","25.617585218753277","93.4645410649085","41.49496997095485","79.80704983146745","0","0"
"56.926075076871776","69.11311031578656","94.08326883815171","82.63424200890779","29.56056850319256","36.122091211938056","44.91953982429817","1","1"
"77.83976077040425","71.89828518091579","92.12729470348296","70.77410482963722","98.83549262429456","76.91246851520349","78.97424208042696","2","1"
"56.568991946500844","46.23578490255626","64.12721128693505","96.56454416123493","47.3943861260651","66.23480773897428","47.99562453239296","3","0"
"36.839894444284454","50.57873834480455","66.55775365417674","83.47393185879885","98.96916431159431","68.04182930512759","65.5409567346922","4","0"
"68.96312752873328","57.80617409970495","80.57650288909443","55.79083878721671","51.699884105380185","98.31926869793757","63.2873947184769","5","0"
"72.20999201299702","39.052816036994464","24.254047263696332","62.4961569961662","42.93290780259603","44.03639900843974","47.4728725411563","6","0"
"41.33205063027275","24.97622431950508","26.755783795830016","87.06774140376595","56.52223567622476","38.27270557101095","68.62620462891435","7","0"
"68.67301719043452","90.79065859658012","36.36806940354836","93.41671514425246","31.350185992924406","40.74683515164677","43.24691808574587","8","0"
"25.955543535071968","76.35060190976174","89.75147837684192","56.28645333227794","45.75175756068663","60.95300192189671","57.77047978650945","9","0"
"73.77058951357525","60.7378536352079","89.57760629196501","37.634245525261356","84.85363589345769","96.92502774896728","51.138294786916674","10","1"
"58.35333481262934","53.675038161514664","67.59113567014158","67.13962743615349","64.58119483562035","51.51072448130622","41.00650971437927","11","1"
"90.04964955204338","42.760163743524934","95.30636581957938","31.975725376831434","66.03232126232561","33.139526004643095","100.81446285565367","12","1"
"70.28001588820852","46.75235369871329","79.75774382512391","35.31205649843522","80.28561614998625","78.69952901865841","49.041028560327796","13","0"
"85.37738102235058","84.52492033482511","31.32909968045868","90.71739784262402","48.967201249934604","50.01820759175985","41.9452337200512","14","0"
"45.38285935797963","62.87846748185959","38.778186531129435","27.2800779914976","71.82410731231018","99.2068032763639","94.61485886465366","15","1"
"32.5614972746297","63.57687822564037","63.12023564692238","43.33344283458848","95.72941566843133","37.82988681980881","70.01776252855522","16","0"
