product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Каша из дробленой перловки,9219,759,Бакалея,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2021-03-03,2028-03-15,4.55,Shipping
2,Йогурт,1295,489,Молочные продукты,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2015-04-17,2015-08-25,1.69,Awaiting Review
3,Огурец,3645,604,Овощи,Является неотъемлемой частью рациона многих народов мира.,2015-05-08,2017-01-05,1.68,Pending
4,Окра,2416,803,Овощи,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2008-01-02,2015-05-02,3.57,Available for Pickup
5,Каша из дробленного пшена,2140,674,Бакалея,Помогает поддерживать нормальный уровень энергии и выносливости.,1993-03-03,2012-04-09,2.87,Awaiting Review
6,Консервированные бобы,3314,386,Бакалея,"Является источником важных микроэлементов, таких как магний и калий.",1991-05-03,2011-02-06,4.58,In Stock
7,Кефир,271,34,Молочные продукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2011-02-12,2023-02-17,4.93,New
8,Рамбутан,5010,105,Фрукты,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2017-01-12,2023-09-15,3.95,Delivered
9,Формы для выпечки,4965,681,Товары для дома,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2008-09-05,2009-01-14,0.38,New
10,Пакеты для театра,124,587,Товары для дома,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1994-02-22,2023-04-02,0.56,Awaiting Review
11,Малина,9548,706,Фрукты,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2002-01-09,2028-08-03,2.34,On Backorder
12,Шубат,6519,201,Молочные продукты,Помогает поддерживать нормальный уровень кислотности желудка.,2007-06-02,2012-04-08,3.35,Returned
13,Патиссон,5996,95,Овощи,Может быть использован в качестве заменителя менее полезных продуктов.,2005-09-01,2026-01-12,1.26,On Backorder
14,Гусиные потроха,3966,669,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,1996-09-03,2010-01-02,4.23,Sold
15,Пастрома,3383,824,Мясо,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2008-01-08,2017-08-04,0.08,Sold
16,Кристалл Байкала,8526,596,Напитки,Может быть использован в выпечке для придания ей особой пышности и аромата.,1995-06-06,2021-06-14,4.15,Awaiting Payment
17,Формы для выпечки,8529,117,Товары для дома,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2016-07-01,2023-01-01,4.98,Temporarily Unavailable
18,Камамбер,7651,227,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2013-02-22,2015-01-03,2.95,Shipping
19,Каша из дробленой кукурузы,7135,69,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",2005-05-12,2014-03-04,0.88,On Backorder
20,Огурец,2850,656,Овощи,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",1996-01-02,2010-01-06,1.02,Sold
21,Окра,784,174,Овощи,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1993-02-19,2024-07-23,2.03,Out of Stock
22,Апельсин,5861,708,Фрукты,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2020-01-17,2027-08-14,2.08,Shipping
23,Волжанка,4907,753,Напитки,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2016-03-12,2018-02-15,0.93,New
